GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,3.88497949,3.88497949,0,,Action,1,TurnRight,0.15,,-1.20811236,0.3354713,3.12299633,6.847861,59.0717163,0,0,0,-0.07941807,1.39147568,7,2.33071685,142.169708,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.88497949,3.88497949,0,,Action,1,Accelerate,0.1,,-1.20811236,0.3354713,3.12299633,6.847861,59.0717163,0,0,0,-0.07941807,1.39147568,7,2.33071685,142.169708,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.88497949,3.88497949,1,,Action,1,TurnRight,0.1,,-0.07941807,1.39147568,7,2.33071685,142.169708,0,0,0,-1.20811236,0.3354713,3.12299633,6.847861,59.0717163,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.88497949,3.88497949,1,,Action,1,Accelerate,0.469153047,,-0.07941807,1.39147568,7,2.33071685,142.169708,0,0,0,-1.20811236,0.3354713,3.12299633,6.847861,59.0717163,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.985861,3.985861,0,,Action,1,TurnRight,0.15,,-1.55123663,0.5410571,4,5.02567339,39.0717163,0,0,0,-0.3247478,1.07554364,3.99999976,1.710523,122.169617,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.985861,3.985861,1,,Action,1,TurnRight,0.1,,-0.3247478,1.07554364,3.99999976,1.710523,122.169617,0,0,0,-1.55123663,0.5410571,4,5.02567339,39.0717163,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,3.985861,3.985861,1,,Action,1,Accelerate,0.464295357,,-0.3247478,1.07554364,3.99999976,1.710523,122.169617,0,0,0,-1.55123663,0.5410571,4,5.02567339,39.0717163,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,4.086587,4.086587,0,,Action,1,TurnRight,0.15,,-1.85558343,0.723409,3.122996,3.688362,19.0717163,0,0,0,-0.663337946,0.86257267,4,1.25536,102.169556,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,4.086587,4.086587,0,,Action,1,Accelerate,0.1,,-1.85558343,0.723409,3.122996,3.688362,19.0717163,0,0,0,-0.663337946,0.86257267,4,1.25536,102.169556,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,4.086587,4.086587,1,,Action,1,TurnRight,0.1,,-0.663337946,0.86257267,4,1.25536,102.169556,0,0,0,-1.85558343,0.723409,3.122996,3.688362,19.0717163,0,0,0,,,,,,,,,,,,,,,,,,,,
